num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
12750,18200,0.003082752227783203,0.17542529106140137,0.0025000572204589844,0.0039865970611572266,0.02132129669189453,0.02109527587890625,0.0008368492126464844,0.22824811935424805
13000,19369,0.003121614456176758,0.19143414497375488,0.002500295639038086,0.004029512405395508,0.02187204360961914,0.022173404693603516,0.0009467601776123047,0.2460777759552002
13250,19472,0.0032167434692382812,0.18959522247314453,0.002590179443359375,0.004083156585693359,0.022220134735107422,0.02234482765197754,0.0009438991546630859,0.2449941635131836
13500,20783,0.0033063888549804688,0.20119571685791016,0.002625703811645508,0.0041408538818359375,0.022693157196044922,0.02379608154296875,0.0009000301361083984,0.25865793228149414
13750,21603,0.0032930374145507812,0.21369242668151855,0.002620697021484375,0.004167795181274414,0.023090124130249023,0.024001598358154297,0.0009033679962158203,0.27176904678344727
14000,21844,0.0033478736877441406,0.2202901840209961,0.002753734588623047,0.004281759262084961,0.023499727249145508,0.024590253829956055,0.0009469985961914062,0.2797105312347412
14250,23241,0.003446340560913086,0.23902201652526855,0.002775907516479492,0.004342317581176758,0.02387237548828125,0.025786399841308594,0.0011143684387207031,0.30035972595214844
14500,23746,0.003542661666870117,0.24268770217895508,0.0028188228607177734,0.004400730133056641,0.02435588836669922,0.02660822868347168,0.0011453628540039062,0.3055593967437744
14750,25077,0.003548145294189453,0.26102542877197266,0.0028896331787109375,0.0044574737548828125,0.024739980697631836,0.0278165340423584,0.0008563995361328125,0.3253335952758789
15000,25574,0.0039997100830078125,0.2667529582977295,0.003405332565307617,0.0047075748443603516,0.026831626892089844,0.028515100479125977,0.0009763240814208984,0.335188627243042
15250,26649,0.004118680953979492,0.284665584564209,0.003429889678955078,0.004719972610473633,0.027487754821777344,0.029080629348754883,0.0009000301361083984,0.3544025421142578
15500,27421,0.004172801971435547,0.29111671447753906,0.003491640090942383,0.004819631576538086,0.027615785598754883,0.030252456665039062,0.0008854866027832031,0.3623545169830322
15750,28317,0.004265546798706055,0.30289173126220703,0.0035734176635742188,0.004857063293457031,0.028232336044311523,0.03109264373779297,0.0011954307556152344,0.37610816955566406
16000,28622,0.004359006881713867,0.30571675300598145,0.0035779476165771484,0.004947662353515625,0.028661489486694336,0.03140377998352051,0.0010018348693847656,0.3796684741973877
16250,30013,0.0044252872467041016,0.3217809200286865,0.00363922119140625,0.005027055740356445,0.029142379760742188,0.03270745277404785,0.0010139942169189453,0.3977363109588623
